latitude	longitude	geometry	coordinates	@id	Loading Dock X Coordinates	Loading Dock Y Coordinates	Loading Dock Details	brand	brand:en	brand:wikidata	brand:wikipedia	building	currency:EUR	name	name:en	opening_hours	opening_hours:covid19	shop	addr:city	addr:housenumber	addr:postcode	addr:street	brand:el	name:el	payment:cash	payment:debit_cards	phone	website	alt_name	operator	branch	int_name	source	wheelchair	building:levels	delivery	email	addr:housename	addr:country	addr:province	amenity	facebook	parking	twitter	payment:cards	payment:credit_cards	condition	level	organic	landuse	addr:district	short_name	short_name:en	contact:phone	addr:unit	contact:email	contact:fax	contact:website	vegan	old_name	payment:coins	payment:mastercard	payment:notes	payment:visa	recycling_type	name:de	name:ru	atm	indoor	cuisine	note	ref	addr:interpolation	toilets:wheelchair	addr:place	addr:neighborhood	name:int	payment:credit_card	diet:vegan	start_date	clothes	description	contact:facebook	contact:messenger	vegetarian	payment:bitcoin	name:ko	payment:american_express	payment:contactless	payment:diners_club	payment:visa_electron
23.7299737	38.0283115	Polygon	23.7299737,38.0283115,23.7295699,38.0282331,23.7295944,38.0281562,23.7295408,38.0281454,23.729527,38.0281882,23.7294589,38.0281745,23.7294727,38.0281317,23.7292872,38.0281058,23.7293214,38.027997,23.7293008,38.027993,23.729359,38.0277621,23.7293795,38.0277661,23.7294456,38.0275552,23.729436,38.0275534,23.72946,38.0274771,23.7294696,38.027479,23.7295286,38.027291,23.7295091,38.0272871,23.7295838,38.0270507,23.7296033,38.0270545,23.7296164,38.0270134,23.7296902,38.0270286,23.7297439,38.0269996,23.7298767,38.0270265,23.7299471,38.0270793,23.7300404,38.0270961,23.7300439,38.0270832,23.7300108,38.0270775,23.7300231,38.0270323,23.7300563,38.0270379,23.7300614,38.0270192,23.7300745,38.0270217,23.7300879,38.0270186,23.7301154,38.0270196,23.7301395,38.0270254,23.730169,38.0270408,23.7301683,38.0270476,23.7303607,38.027084,23.7302363,38.0274687,23.7301982,38.027461,23.7301415,38.0274498,23.7299721,38.0279819,23.7300288,38.0279931,23.7300651,38.0280004,23.7299737,38.0283115	way/102322655				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Σκλαβενίτης	Σκλαβενίτης									Yahoo																																																										
23.74133	38.0334831	Polygon	23.74133,38.0334831,23.741216,38.0333356,23.7411618,38.0333616,23.7410371,38.0332003,23.7410573,38.0331907,23.7409532,38.033056,23.7412647,38.0329066,23.7413856,38.0330629,23.7414226,38.0330452,23.7414848,38.0331256,23.7414478,38.0331433,23.7416075,38.0333499,23.74133,38.0334831	way/107973896				Lidl		Q151954	en:Lidl	yes	yes	Lidl		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.7226296	37.9539869	Polygon	23.7226296,37.9539869,23.7224796,37.9536637,23.7226196,37.9536019,23.7228929,37.9538621,23.7228763,37.953916,23.7226296,37.9539869	way/132557070				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.7403032	37.9418472	Polygon	23.7403032,37.9418472,23.7404344,37.9413686,23.7405478,37.941388,23.7407273,37.9414186,23.7406668,37.9416392,23.7406406,37.9416347,23.7406333,37.9416615,23.7406019,37.9416561,23.7405587,37.9418138,23.7404456,37.9417945,23.740432,37.9418441,23.7404052,37.9418395,23.7403987,37.9418635,23.7403032,37.9418472	way/142662193				Lidl		Q151954	en:Lidl	yes		Lidl				supermarket																																																																									
23.6341124	37.9498571	Polygon	23.6341124,37.9498571,23.6341134,37.9498041,23.6341456,37.9497999,23.6341751,37.9497788,23.6341777,37.9495546,23.6345975,37.9495578,23.6347222,37.9495588,23.6347086,37.9498639,23.6341124,37.9498571	way/156091480				Lidl		Q151954	en:Lidl	yes		Lidl		Mo-Sa 08:00-21:00		supermarket																yes																																																									
23.8724274	38.0155556	Polygon	23.8724274,38.0155556,23.8724167,38.0154288,23.8723738,38.0153993,23.872285,38.0143413,23.8726686,38.0143025,23.8726796,38.0143679,23.873216,38.0143173,23.8733078,38.0147811,23.8733606,38.014778,23.8734732,38.0154542,23.8724274,38.0155556	way/174285862								commercial		The MART		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Παλλήνη	10	15351	Ανθούσας					21 0660 7700																																																																
23.8489785	37.993346	Polygon	23.8489785,37.993346,23.8489201,37.9932602,23.8489914,37.993044,23.8492575,37.9929331,23.849335,37.9932086,23.8489785,37.993346	way/174436091				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	retail		ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Γλυκά Νερά	113-115	15354	Λαυρίου	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος			+302106041966 +302106041968	https://www.ab.gr/storedetails/glyka-nera-1			ΓΛΥΚΑ ΝΕΡΑ 1				1																																																								
23.735282	37.9062593	Polygon	23.735282,37.9062593,23.7352793,37.9062265,23.7352465,37.9062234,23.7352263,37.9062211,23.735225,37.9062491,23.7352323,37.9062493,23.7352295,37.9063086,23.7351914,37.9063077,23.7351948,37.9062485,23.7352028,37.9062466,23.7352029,37.9062201,23.7351794,37.9062106,23.7351542,37.9061899,23.7351646,37.9060235,23.7351827,37.9055804,23.7351512,37.9055784,23.7351485,37.9056175,23.735111,37.9056164,23.735111,37.905563,23.7351941,37.9055635,23.7351941,37.905553,23.7357924,37.9055674,23.7358037,37.9054641,23.7369002,37.9055017,23.7368953,37.9056186,23.7368617,37.9059745,23.7368462,37.906196,23.7368438,37.9062298,23.7368256,37.9062577,23.7367961,37.9062746,23.7367204,37.9062751,23.7367172,37.9063065,23.736726,37.9063067,23.7367203,37.9063632,23.7366935,37.9063624,23.7366851,37.9063623,23.7366864,37.9063041,23.7366948,37.9063042,23.7366955,37.9062725,23.7365889,37.9062703,23.7365871,37.9063102,23.7365499,37.9063089,23.7365365,37.9063248,23.7365138,37.9063315,23.7364911,37.9063247,23.7364795,37.9063065,23.7364454,37.9063053,23.7364488,37.9062582,23.7364407,37.9062456,23.7364279,37.9062434,23.7360223,37.9062286,23.7360182,37.9062651,23.7364058,37.9063397,23.7363972,37.906364,23.7360229,37.9062952,23.7360384,37.9063058,23.7360372,37.906316,23.7360318,37.9063297,23.7360143,37.9063349,23.7359968,37.906327,23.7359894,37.9063143,23.7358727,37.9063101,23.7358721,37.906318,23.7358574,37.906327,23.7358426,37.9063248,23.7358298,37.906318,23.7358259,37.9063058,23.7358365,37.9062916,23.7354525,37.9063276,23.7354456,37.9062979,23.7358573,37.9062598,23.7358573,37.9062238,23.7354409,37.9062053,23.7354295,37.9062164,23.7354256,37.906243,23.7354215,37.9062656,23.7353877,37.9062641,23.7353758,37.9062767,23.735353,37.9062832,23.735329,37.9062777,23.735318,37.9062609,23.735282,37.9062593	way/175017009				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket	Άλιμος	1	17455	Παλαιστίνης	Σκλαβενίτης	Σκλαβενίτης											1																																																								
23.8129633	38.0273062	Polygon	23.8129633,38.0273062,23.8128155,38.0271712,23.8129282,38.026867,23.8130408,38.0268966,23.8130301,38.02696,23.8132178,38.0271269,23.8129633,38.0273062	way/182674380				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Χαλάνδρι	84	15234	Πεντέλης	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος				https://www.ab.gr/storedetails/chalandri-free-flow		Delhaize	ΧΑΛΑΝΔΡΙ FREE FLOW																																																												
23.7392162	38.0684773	Polygon	23.7392162,38.0684773,23.7398604,38.0683923,23.7399043,38.0685912,23.7392748,38.0686733,23.7392162,38.0684773	way/186805541				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος		yes	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος																																																																			
23.7339422	38.0782683	Polygon	23.7339422,38.0782683,23.7339481,38.0782049,23.7339872,38.0782068,23.7339967,38.0781015,23.7343198,38.0781127,23.7343541,38.0781676,23.7343884,38.0782291,23.7343801,38.0782515,23.7343612,38.0782971,23.7343328,38.0783335,23.7342215,38.0784192,23.7339328,38.0783987,23.7339422,38.0782683	way/188249217									yes	My market		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.7392653	38.0601763	Polygon	23.7392653,38.0601763,23.7396038,38.060154,23.7396346,38.0602509,23.7393411,38.0603124,23.7392653,38.0601763	way/188262188				Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Γαλαξίας	Γαλαξίας																																																																			
23.7650746	37.8921413	Polygon	23.7650746,37.8921413,23.7648997,37.8920184,23.7650669,37.8918702,23.7652418,37.8919932,23.7650746,37.8921413	way/190049691				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00		supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.7375325	38.0877066	Polygon	23.7375325,38.0877066,23.7379294,38.0877029,23.7379345,38.0875156,23.7380596,38.0875139,23.7380404,38.0878212,23.7378831,38.0878263,23.7378839,38.0878574,23.7376274,38.0878626,23.7376257,38.0878888,23.7375308,38.0878862,23.7375325,38.0877066	way/191275373				Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Γαλαξίας	Γαλαξίας																																																																			
23.761606	37.8916247	Polygon	23.761606,37.8916247,23.7616814,37.8912875,23.7619862,37.8913299,23.7619108,37.8916671,23.761606,37.8916247	way/192239359								yes		My market		Mo-Fr 08:00-21:00; Sa 08:00-20:00		supermarket	Γλυφάδα	5	16562	Κωνσταντίνου Αθανάτου					+30 210 9605556									yes	sm37@mymarket.gr																																																						
23.6377479	37.9497043	Polygon	23.6377479,37.9497043,23.6379645,37.9497053,23.6379647,37.9496744,23.6381198,37.9496751,23.6381205,37.9495815,23.638174,37.9495817,23.6381711,37.9499932,23.6381217,37.949993,23.6381221,37.9499332,23.6378121,37.9499319,23.6378132,37.9497758,23.6377474,37.9497755,23.6377479,37.9497043	way/193004226				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes		ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00	Mo-Fr 07:00-21:00; Sa 07:00-20:00	supermarket	Πειραιάς	44	18542	Ακτή Κονδύλη	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος			302104625572	https://www.ab.gr/storedetails/akti-kondyli-peiraias			ΑΚΤΗ ΚΟΝΔΥΛΗ ΠΕΙΡΑΙΑΣ																																																												
23.7307429	38.0625221	Polygon	23.7307429,38.0625221,23.7306829,38.0620932,23.7309922,38.0620568,23.7310938,38.0624894,23.7307429,38.0625221	way/195758481				Lidl		Q151954	en:Lidl		yes	Lidl		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.730724	38.0586045	Polygon	23.730724,38.0586045,23.7306326,38.0581212,23.7308938,38.0580749,23.7309917,38.0585608,23.730724,38.0586045	way/195758484				Γαλαξίας	Galaxias	Q5518063	el:Γαλαξίας (σούπερ μάρκετ)		yes	Γαλαξίας	Galaxias	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Γαλαξίας	Γαλαξίας																																																																			
23.864804	38.1225345	Polygon	23.864804,38.1225345,23.8650004,38.1226643,23.8643795,38.1232463,23.8641831,38.1231166,23.864804,38.1225345	way/209116642				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Σταμάτα	31Α	14575	Λεωφόρος Δροσιάς-Σταμάτας	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος			+302106215571 +302106215572	https://www.ab.gr/storedetails/stamata			ΣΤΑΜΑΤΑ							ΑΒ Βασιλόπουλος Green																																																					
23.7478575	38.0345653	Polygon	23.7478575,38.0345653,23.7480705,38.0343862,23.7480826,38.0343768,23.7489258,38.0350139,23.7486995,38.035199,23.7481184,38.0347627,23.7478575,38.0345653	way/209576255				ΑΒ Βασιλόπουλος	AB Vassilopoulos	Q4721807	el:Άλφα Βήτα Βασιλόπουλος	yes	yes	ΑΒ Βασιλόπουλος	AB Vassilopoulos	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Νέα Ιωνία	38	14232	Αβέρωφ	ΑΒ Βασιλόπουλος	ΑΒ Βασιλόπουλος			+302102514764 +302102514469 +302102514025	https://www.ab.gr/storedetails/perissos			ΠΕΡΙΣΣΟΣ																																																												
23.7553686	38.0378971	Polygon	23.7553686,38.0378971,23.7554089,38.0380755,23.7553576,38.0380953,23.7553027,38.0380948,23.7552685,38.0381249,23.7552215,38.0381603,23.7551511,38.0381967,23.7550633,38.0382216,23.7549875,38.0382168,23.7549385,38.0382084,23.7548973,38.0381904,23.7549084,38.0381767,23.7548594,38.038146,23.7548306,38.0381138,23.7548178,38.03808,23.7548152,38.0380378,23.7548205,38.0380008,23.7548333,38.0379728,23.754846,38.0379559,23.7548845,38.0379394,23.755133,38.0379015,23.7552671,38.0378931,23.7553686,38.0378971	way/209576258								yes	yes	My market		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket	Νέα Ιωνία																																																																								
23.7600498	38.043678	Polygon	23.7600498,38.043678,23.7599375,38.0436228,23.7599744,38.0435761,23.7600317,38.0436043,23.7600701,38.0435559,23.7601843,38.043612,23.7603284,38.0434301,23.7604582,38.0432664,23.7606185,38.0433452,23.7605931,38.0433771,23.7606453,38.0434028,23.7603214,38.0438115,23.7603086,38.0438052,23.7600498,38.043678	way/209576263				Lidl		Q151954	en:Lidl	yes	yes	Lidl		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																yes																																																									
23.6118575	37.9630959	Polygon	23.6118575,37.9630959,23.6118053,37.9628694,23.6117079,37.9628834,23.6117442,37.9630407,23.6116751,37.9630506,23.6115432,37.9630695,23.6114909,37.963077,23.6114588,37.9630241,23.6114386,37.9629665,23.6114312,37.9629142,23.6114429,37.9628686,23.6114367,37.9628418,23.6113752,37.9628506,23.611354,37.9627583,23.6114061,37.9627508,23.6113799,37.9626371,23.6113276,37.9626446,23.6113004,37.9625264,23.6113425,37.9625204,23.6113023,37.9623457,23.6112636,37.9623512,23.6112404,37.9622501,23.6112085,37.9622547,23.6111869,37.9621613,23.6112728,37.9620538,23.6114786,37.9620243,23.6114837,37.9620464,23.6117859,37.9620031,23.6118036,37.9620799,23.6118439,37.9620741,23.6119026,37.9620567,23.6119313,37.9620313,23.6119498,37.9620225,23.611977,37.9620291,23.612001,37.9620516,23.6120709,37.9623548,23.6120174,37.9623625,23.6121046,37.9627405,23.6121209,37.9627382,23.6121284,37.9627707,23.6120812,37.9627775,23.6120913,37.9628212,23.6121579,37.9628117,23.6121745,37.9628837,23.6121465,37.9628878,23.6121641,37.9629643,23.6121351,37.9629684,23.6121547,37.9630534,23.6118575,37.9630959	way/210525706				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.7579506	37.8984147	Polygon	23.7579506,37.8984147,23.7580096,37.8983553,23.7579706,37.8983312,23.7580275,37.898274,23.7580582,37.8982929,23.7581018,37.8982491,23.7583771,37.8984195,23.7583503,37.8984464,23.7583763,37.8984625,23.7584182,37.8984617,23.7584602,37.8984608,23.758485,37.8984359,23.7584455,37.8984115,23.7587029,37.8981527,23.7589087,37.8982802,23.758567,37.8986237,23.7585338,37.8986031,23.7584861,37.8986511,23.7584984,37.8987314,23.7584262,37.8987407,23.7584144,37.8986574,23.7583533,37.8986195,23.7583259,37.8986471,23.7579506,37.8984147	way/212120989				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis			supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.842408	38.0438771	Polygon	23.842408,38.0438771,23.8425525,38.0438873,23.8427859,38.0437753,23.8429629,38.04405,23.8425659,38.0442379,23.8424857,38.0441686,23.8424562,38.0441052,23.8424214,38.0441179,23.8422658,38.0439932,23.842408,38.0438771	way/216997848				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes	yes	Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
23.680123	37.9758382	Polygon	23.680123,37.9758382,23.6807115,37.9757832,23.6807407,37.975977,23.6807524,37.9760547,23.6806667,37.9760628,23.6806631,37.9760391,23.6805223,37.9760522,23.6805277,37.976088,23.6803833,37.9761014,23.6803779,37.9760657,23.6802458,37.976078,23.6802494,37.9761016,23.6801639,37.9761097,23.6801522,37.976032,23.680123,37.9758382	way/218604834								yes		METRO Cash & Carry				supermarket	Άγιος Ιωάννης Ρέντης	75		Πέτρου Ράλλη					2105441934										cc61@metro.com.gr																																																						
23.7425326	38.1029907	Polygon	23.7425326,38.1029907,23.7424194,38.1024446,23.7427118,38.1024071,23.742825,38.1029532,23.7425326,38.1029907	way/218923927				Lidl		Q151954	en:Lidl		yes	Lidl		Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket																																																																									
23.701493	37.9909989	Polygon	23.701493,37.9909989,23.7014861,37.9909862,23.7014391,37.9909352,23.7011791,37.9906553,23.7010344,37.9904919,23.7015567,37.9902046,23.7016055,37.990179,23.7014979,37.9900515,23.7017455,37.9899218,23.7021066,37.990679,23.7020604,37.9906924,23.7020019,37.9906201,23.7019491,37.9906466,23.702016,37.9907294,23.7019631,37.9907559,23.7019866,37.9907683,23.701581,37.990999,23.7015509,37.9909661,23.701493,37.9909989	way/219221119				Σκλαβενίτης	Sklavenitis	Q7536037	el:Σκλαβενίτης	yes		Σκλαβενίτης	Sklavenitis	Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su closed	Mo-Fr 08:00-20:30; Sa 08:00-20:00; Su closed	supermarket					Σκλαβενίτης	Σκλαβενίτης																																																																			
